id,name,total_tracks,release_date,artists
0Ajs51QREa33RFggJkZiXO,The Lotus and the Swamp,8,2022-03-25,['4y6ORtg4fPmsXNftMLw12X']
0fGe7GihM5rZSnh0WMb7sk,Wong's Cafe,10,2022-01-07,['6xt9sJmmyYwWkJv8A6ssiU']
3emaON3OLNgF3OGQdCaGUs,Capri Sun,5,2024-02-09,['1WlYYdGPxcxcmDVtIzTuhV']
4V0RTRl6OgbmamweNaFsT4,The Groove Sessions,7,2021-07-09,['7FZ7QjjU3oULdlzZr6GJCw']
0woDg8EWf32yL9I5bhrGSD,"The Joy of Music, The Job of Real Estate",10,2020-10-23,['7pXu47GoqSYRajmBCjxdD6']
0woDg8EWf32yL9I5bhrGSD,"The Joy of Music, The Job of Real Estate",10,2020-10-23,['7pXu47GoqSYRajmBCjxdD6']
0fGe7GihM5rZSnh0WMb7sk,Wong's Cafe,10,2022-01-07,['6xt9sJmmyYwWkJv8A6ssiU']
3emaON3OLNgF3OGQdCaGUs,Capri Sun,5,2024-02-09,['1WlYYdGPxcxcmDVtIzTuhV']
4V0RTRl6OgbmamweNaFsT4,The Groove Sessions,7,2021-07-09,['7FZ7QjjU3oULdlzZr6GJCw']
3YvwOLTCayOnrxe1TCiIxx,Careless (Tiny Room Sessions),1,2021-07-16,"['0zimAUeLZD9gEVSEgc9RRd', '5uiYVTlSFQqK08L1MKuBnW', '71DLOjjNflV6J67OQrR54B']"
7yfKLZHZRYOr9ersfyaobt,Got Ya Movin',3,2021-05-11,['1WlYYdGPxcxcmDVtIzTuhV']
