id,name,album_id,artists_id,duration_ms,explicit,isrc,track_number
5TqJ7Y1LmaJtrQfkRwTFCE,Sticks & Bricks,6I2SUr0MolRUiDEcZAbSWm,['4NiJW4q9ichVqL1aUsgGAN'],196653,True,USVIC1060301,1
76LGCP0g9nVknR7HD2Jjyp,Not The American Average,5TCwGgyw8ZXXyKIcUFCj47,['1caBfBEapzw8z2Qz9q0OaQ'],279226,True,USYFZ0902209,9
0rWIAbUoOL67JAHxxGRKx7,Puzzles,4LULr4Lz6obf9eL2BA0tiJ,['7I95CM75shzCjHuTzrepjM'],161560,True,UKGV82200005,1
0SuhR57lVDnnxWQdfsXvuR,PIRILAMPO,249ymAktXFSKOCAe1IRy5i,"['5932gYdqLCu1ftKVXf1PO4', '3NP4jJcW3R6qO6rbtnH0wn']",290769,False,GBCFB2100562,4
5viZ8CLipufc1Q1NXpMRNN,AmEN! (feat. Lil Uzi Vert and Daryl Palumbo of Glassjaw),1n9nqA87ulG7FxxVrpULRA,"['1Ffb6ejR6Fe5IamqA5oRUF', '4O15NlyKLIASxsJ0PrXPfz', '6GcRo52zMhZXYOsEkMyMrX', '7nt6S4klYHg4I7Q4lTSmc0']",189552,True,GBARL2300647,1
1COOaXjTMj3KF7BTNF4rn6,Inexplicable,5n410n5GCO2cb0PmN0uxTJ,['3VvmUsYPzFheK2wJGKcXxp'],250053,False,GBFEK1700388,7
6CcJMwBtXByIz4zQLzFkKc,i love you,0S0KGZnfBGSIssfF54WSJh,['6qqNVTkY8uBg9cP3Jd7DAH'],291796,False,USUM71900773,13
5TFGStvx07PrdqAwCqcfk1,When You Wash Your Hair,0DMKZZanrzK36YjFyI5nfF,['12j6dJrPXanCBwY599pZxf'],192648,False,QMBZ91908411,10
0fdaw54L9HswP2QVYJjnx6,concrete,4otlYN4uGurlL16mvgeIHT,['2efrqekWSHlvhATD50AG3m'],212000,True,USQE92100245,1
5QR7L5wiz7dnvrXnhOC6f3,born a worm,0jSbGFLr7uwPvPcrxrwdvx,['4pzjm2iMtclScYmoJ7q9tD'],143131,True,USA2A1704502,10
4wMR4fRKMTyUJG6VAsmccv,Riot Van,50Zz8CkIhATKUlQMbHO3k1,['7Ln80lUS6He07XvHI8qqHH'],134933,False,GBCEL0501186,7
2kPYU6yN0LfBZC67J45MJg,Honey,5kNlXRgH4imZfk8MciMwAA,"['0tMnuEXTeJeHbslcV8OybJ', '3Uqu1mEdkUJxPe7s31n1M9']",268146,False,QMV8L1724802,2
2yURdflFgT9fkD4dDp3Z94,To Sleep,33cj3kzLqVOg9zvy69Wrc8,['0QWrMNukfcVOmgEU0FEDyD'],192386,False,GBUM72003620,12
6XyjwF7CAwuEaW77noJr6I,Sleep Apnea,4qC8mysA680i7chkL3JQQw,['1bwUhKRmEkOZ1wuTnV9XjC'],146293,False,QMMZN1300102,3
05vrUd9ocpUYUQMqXyto1v,White Space,6DWN7dWflNJx4mApWXBjj1,['1Bfk5r6g6fXLaMoESYbePK'],256500,False,GBKPL2017235,2
