id,name,genres,images
7I95CM75shzCjHuTzrepjM,Nova Twins,"['black punk', 'uk diy punk']","['https://i.scdn.co/image/ab6761610000e5eb7de2f819e233f2ebab2086a0', 'https://i.scdn.co/image/ab676161000051747de2f819e233f2ebab2086a0', 'https://i.scdn.co/image/ab6761610000f1787de2f819e233f2ebab2086a0']"
17Vw9uuOYB7XYjPt0LNFN0,Machine Girl,['digital hardcore'],"['https://i.scdn.co/image/ab6761610000e5eba7bda8d6b29d5ee7c7380cc9', 'https://i.scdn.co/image/ab67616100005174a7bda8d6b29d5ee7c7380cc9', 'https://i.scdn.co/image/ab6761610000f178a7bda8d6b29d5ee7c7380cc9']"
5B2GfbXgossZt9SE08Iqn6,Aaron Gillespie,[],"['https://i.scdn.co/image/ab6761610000e5ebc9a709557797137fbfeb30d5', 'https://i.scdn.co/image/ab67616100005174c9a709557797137fbfeb30d5', 'https://i.scdn.co/image/ab6761610000f178c9a709557797137fbfeb30d5']"
1Ffb6ejR6Fe5IamqA5oRUF,Bring Me The Horizon,"['melodic metalcore', 'metalcore', 'modern rock', 'rock', 'uk metalcore']","['https://i.scdn.co/image/ab6761610000e5ebe7c9399d0b5d813c20cbec65', 'https://i.scdn.co/image/ab67616100005174e7c9399d0b5d813c20cbec65', 'https://i.scdn.co/image/ab6761610000f178e7c9399d0b5d813c20cbec65']"
3l1Z9XFIBCJXaxfpussnIZ,Melted Bodies,[],"['https://i.scdn.co/image/ab6761610000e5eb901b2b21472088dc2bb7c9c9', 'https://i.scdn.co/image/ab67616100005174901b2b21472088dc2bb7c9c9', 'https://i.scdn.co/image/ab6761610000f178901b2b21472088dc2bb7c9c9']"
08ET100WDKcE5HzPSWBJYg,Death Tour,[],"['https://i.scdn.co/image/ab6761610000e5eb7a7715274aa3d29579f8ae86', 'https://i.scdn.co/image/ab676161000051747a7715274aa3d29579f8ae86', 'https://i.scdn.co/image/ab6761610000f1787a7715274aa3d29579f8ae86']"
5eAWCfyUhZtHHtBdNk56l1,System Of A Down,"['alternative metal', 'nu metal', 'rap metal', 'rock']","['https://i.scdn.co/image/ab6761610000e5eb60063d3451ade8f9fab397c2', 'https://i.scdn.co/image/ab6761610000517460063d3451ade8f9fab397c2', 'https://i.scdn.co/image/ab6761610000f17860063d3451ade8f9fab397c2']"
6Jm8KViMNCuYjzrO1hJkcT,Henry Rollins,[],"['https://i.scdn.co/image/2bbf50e43bf25eef821aa1fecb968fe6bd38ec43', 'https://i.scdn.co/image/bb19a10ae38787f39ac689c09bc057ca096a7c12', 'https://i.scdn.co/image/5c43ded8eca7892d125c8a91b321080c901fb8a6', 'https://i.scdn.co/image/6a72ece22ce1cdf1dd946d615efea59c1f29d7da']"
2S5hlvw4CMtMGswFtfdK15,Royal Blood,"['brighton indie', 'garage rock', 'modern alternative rock', 'modern blues rock', 'modern hard rock', 'modern rock', 'rock']","['https://i.scdn.co/image/ab6761610000e5ebf92e0161cf8a3744c222d6e3', 'https://i.scdn.co/image/ab67616100005174f92e0161cf8a3744c222d6e3', 'https://i.scdn.co/image/ab6761610000f178f92e0161cf8a3744c222d6e3']"
24Oiw7BlvO1BETecDLJt6m,Slaughter to Prevail,"['russian metal', 'russian metalcore', 'slamming deathcore']","['https://i.scdn.co/image/ab6761610000e5eba11684a1f0d1ceacaee7d109', 'https://i.scdn.co/image/ab67616100005174a11684a1f0d1ceacaee7d109', 'https://i.scdn.co/image/ab6761610000f178a11684a1f0d1ceacaee7d109']"
